simulation,selected_model,selection_mean_hits,outer_mean_hits,outer_total_hits,unadjusted_normal_p,appears_significant_p_le_0_05
1,ewma,0.75,0.6966019417475728,574,0.9248932156289063,False
2,fixed_1_6,0.7754854368932039,0.7536407766990292,621,0.2371047297908644,False
3,recent50,0.8046116504854369,0.7184466019417476,592,0.7302862119135235,False
4,repeat_last,0.7609223300970874,0.7633495145631068,629,0.13954688860799924,False
5,historical,0.7366504854368932,0.7160194174757282,590,0.7597057860482179,False
6,recent50,0.7961165048543689,0.7645631067961165,630,0.12961854403261824,False
7,fixed_1_6,0.7342233009708737,0.691747572815534,570,0.9476125393906026,False
8,recent50,0.7536407766990292,0.7269417475728155,599,0.6151652101037901,False
9,recent50,0.7512135922330098,0.6941747572815534,572,0.9370479461639363,False
10,cold_gap,0.7439320388349514,0.741504854368932,611,0.3984895521639562,False
11,recent100,0.7645631067961165,0.7099514563106796,585,0.8249900120461768,False
12,fixed_1_6,0.7742718446601942,0.6990291262135923,576,0.9110259673607168,False
13,repeat_last,0.7633495145631068,0.7597087378640777,626,0.17237005601348904,False
14,prespecified_full_linear,0.7281553398058253,0.7038834951456311,580,0.8777362399752886,False
15,ewma,0.7378640776699029,0.7305825242718447,602,0.5617039190713526,False
16,recent100,0.7754854368932039,0.7220873786407767,595,0.6830206541663417,False
17,exclude_last,0.7621359223300971,0.7220873786407767,595,0.6830206541663417,False
18,recent50,0.8058252427184466,0.7973300970873787,657,0.008994507098406195,True
19,historical,0.7487864077669902,0.7354368932038835,606,0.48880532163061946,False
20,exclude_last,0.7439320388349514,0.7706310679611651,635,0.08732862529121244,False
21,ewma,0.7827669902912622,0.7366504854368932,607,0.47054362663143273,False
22,historical,0.779126213592233,0.7172330097087378,591,0.7452182926492441,False
23,repeat_last,0.7609223300970874,0.7512135922330098,619,0.2663239119791186,False
24,fixed_1_6,0.7924757281553398,0.6881067961165048,567,0.9607663500543601,False
25,fixed_1_6,0.7754854368932039,0.7390776699029126,609,0.4342433395169152,False
26,ewma,0.7936893203883495,0.7512135922330098,619,0.2663239119791186,False
27,recent50,0.7524271844660194,0.7281553398058253,600,0.5975336261150406,False
28,exclude_last,0.7609223300970874,0.7245145631067961,597,0.6496904049125702,False
29,exclude_last,0.7961165048543689,0.7269417475728155,599,0.6151652101037901,False
30,fixed_1_6,0.7451456310679612,0.7317961165048543,603,0.5435779510099145,False
31,historical,0.7572815533980582,0.7524271844660194,620,0.25149009712395237,False
32,historical,0.7815533980582524,0.7512135922330098,619,0.2663239119791186,False
33,cold_gap,0.7754854368932039,0.7572815533980582,624,0.19678438713652951,False
34,recent100,0.7657766990291263,0.7597087378640777,626,0.17237005601348904,False
35,recent50,0.7864077669902912,0.7014563106796117,578,0.895337242477618,False
36,historical,0.7463592233009708,0.691747572815534,570,0.9476125393906026,False
37,cold_gap,0.7864077669902912,0.7402912621359223,610,0.4162798370944438,False
38,repeat_last,0.7766990291262136,0.7694174757281553,634,0.09483576746811007,False
39,cold_gap,0.7487864077669902,0.7439320388349514,613,0.3635685701246699,False
40,cold_gap,0.7536407766990292,0.7245145631067961,597,0.6496904049125702,False
41,recent50,0.7536407766990292,0.7597087378640777,626,0.17237005601348904,False
42,repeat_last,0.7730582524271845,0.7669902912621359,632,0.11125636257450994,False
43,prespecified_full_linear,0.7633495145631068,0.6881067961165048,567,0.9607663500543601,False
44,cold_gap,0.7766990291262136,0.712378640776699,587,0.8003502382496974,False
45,recent50,0.7706310679611651,0.7148058252427184,589,0.7737324306823015,False
46,cold_gap,0.7536407766990292,0.7378640776699029,608,0.4523436802930008,False
47,cold_gap,0.8094660194174758,0.741504854368932,611,0.3984895521639562,False
48,repeat_last,0.7754854368932039,0.7402912621359223,610,0.4162798370944438,False
49,repeat_last,0.8143203883495146,0.7233009708737864,596,0.6665198595841199,False
50,recent100,0.75,0.720873786407767,594,0.6991652543184983,False
51,recent100,0.7572815533980582,0.7354368932038835,606,0.48880532163061946,False
52,ewma,0.7536407766990292,0.7160194174757282,590,0.7597057860482179,False
53,historical,0.7827669902912622,0.6808252427184466,561,0.9790585656639875,False
54,fixed_1_6,0.7851941747572816,0.7354368932038835,606,0.48880532163061946,False
55,recent20,0.7669902912621359,0.7597087378640777,626,0.17237005601348904,False
56,repeat_last,0.7524271844660194,0.7487864077669902,617,0.2972620413105247,False
57,recent50,0.7730582524271845,0.7730582524271845,637,0.07365931597746934,False
58,recent100,0.787621359223301,0.7220873786407767,595,0.6830206541663417,False
59,ewma,0.8058252427184466,0.7245145631067961,597,0.6496904049125702,False
60,ewma,0.7949029126213593,0.7293689320388349,601,0.5797013408847131,False
61,exclude_last,0.7512135922330098,0.7766990291262136,640,0.05630341180044239,False
62,cold_gap,0.7912621359223301,0.7888349514563107,650,0.020428786458272848,True
63,historical,0.7851941747572816,0.7742718446601942,638,0.06746939964998626,False
64,recent50,0.7936893203883495,0.7111650485436893,586,0.8129209871859224,False
65,fixed_1_6,0.7924757281553398,0.7657766990291263,631,0.12019050963371014,False
66,recent20,0.7706310679611651,0.7463592233009708,615,0.3297462616248388,False
67,recent100,0.7912621359223301,0.720873786407767,594,0.6991652543184983,False
68,fixed_1_6,0.7779126213592233,0.7366504854368932,607,0.47054362663143273,False
69,recent50,0.7633495145631068,0.7524271844660194,620,0.25149009712395237,False
70,cold_gap,0.7851941747572816,0.7220873786407767,595,0.6830206541663417,False
71,historical,0.7864077669902912,0.7038834951456311,580,0.8777362399752886,False
72,cold_gap,0.7973300970873787,0.7184466019417476,592,0.7302862119135235,False
73,repeat_last,0.7487864077669902,0.720873786407767,594,0.6991652543184983,False
74,exclude_last,0.7645631067961165,0.7257281553398058,598,0.6325617661226961,False
75,cold_gap,0.7936893203883495,0.7378640776699029,608,0.4523436802930008,False
76,recent100,0.7657766990291263,0.7427184466019418,612,0.3809077895376133,False
77,recent100,0.7669902912621359,0.7475728155339806,616,0.3133231039979236,False
78,cold_gap,0.7536407766990292,0.720873786407767,594,0.6991652543184983,False
79,cold_gap,0.7439320388349514,0.7560679611650486,623,0.2097397920498521,False
80,recent50,0.7682038834951457,0.7682038834951457,633,0.10280799780698574,False
81,repeat_last,0.7657766990291263,0.7366504854368932,607,0.47054362663143273,False
82,exclude_last,0.808252427184466,0.7451456310679612,614,0.34650443451839497,False
83,fixed_1_6,0.7512135922330098,0.7390776699029126,609,0.4342433395169152,False
84,recent20,0.758495145631068,0.7815533980582524,644,0.03836860397598392,True
85,exclude_last,0.7645631067961165,0.7427184466019418,612,0.3809077895376133,False
86,cold_gap,0.7803398058252428,0.7342233009708737,605,0.5070905203342269,False
87,cold_gap,0.7827669902912622,0.7342233009708737,605,0.5070905203342269,False
88,historical,0.7730582524271845,0.6929611650485437,571,0.9425209637805891,False
