period,draws,average_hits,brier,log_loss
first_half,824,0.7172330097087378,0.10811784298122563,0.3749798220168405
second_half,824,0.787621359223301,0.10821065630806835,0.3756817364021728
recent_500,500,0.82,0.10814982344501602,0.37552042120207907
recent_1000,1000,0.775,0.10825971915640875,0.37585470591927256
all_common,1648,0.7524271844660194,0.10816424964464699,0.37533077920950664
