family,parameter,model,prediction_draws,average_hits,top10_average_hits,top12_average_hits,brier,log_loss,mean_probability_sum
logistic_C_proxy,0.01,C=0.01,1648,0.7512135922330098,1.2433252427184467,1.4805825242718447,0.10748343377604276,0.3719088105731859,6.0
logistic_C_proxy,0.03,C=0.03,1648,0.7518203883495146,1.2512135922330097,1.4951456310679612,0.1075455061485568,0.37221121336056434,6.0
logistic_C_proxy,0.1,C=0.1,1648,0.7530339805825242,1.262742718446602,1.5182038834951457,0.10782992327584047,0.37363700553402984,6.0
logistic_C_proxy,0.2,C=0.2,1648,0.7524271844660194,1.2694174757281553,1.5388349514563107,0.10816424964464699,0.37533077920950664,6.0
logistic_C_proxy,0.5,C=0.5,1648,0.7651699029126213,1.2742718446601942,1.5297330097087378,0.10873762546447283,0.3782419255817158,6.0
logistic_C_proxy,1.0,C=1.0,1648,0.7591019417475728,1.2803398058252426,1.5212378640776698,0.10923329250985989,0.38070444933466224,6.0
logistic_C_proxy,3.0,C=3.0,1648,0.7572815533980582,1.2766990291262137,1.5091019417475728,0.11104005083577766,0.38916528626856356,6.0
logistic_C_proxy,10.0,C=10.0,1648,0.7682038834951457,1.2633495145631068,1.512742718446602,0.1206479773676029,0.427635458146266,6.0
fixed_shrink_strength,0,shrink=0,1648,0.7524271844660194,1.2694174757281553,1.5388349514563107,0.10834376537257306,0.3763107123787749,6.0
fixed_shrink_strength,0.05,shrink=0.05,1648,0.7524271844660194,1.2694174757281553,1.5388349514563107,0.10825148912278934,0.3758020095836813,6.0
fixed_shrink_strength,0.1,shrink=0.1,1648,0.7524271844660194,1.2694174757281553,1.5388349514563107,0.10816424964464699,0.37533077920950664,6.0
fixed_shrink_strength,0.25,shrink=0.25,1648,0.7524271844660194,1.2694174757281553,1.5388349514563107,0.107932751840068,0.3741211077144795,6.0
fixed_shrink_strength,0.5,shrink=0.5,1648,0.7524271844660194,1.2694174757281553,1.5388349514563107,0.10764765759859657,0.3727011078575916,6.0
fixed_shrink_strength,1.0,shrink=1.0,1648,0.7063106796116505,1.1996359223300972,1.4550970873786409,0.10745522698875466,0.3717761799434528,6.0
long_frequency_prior,0,prior=0,1648,0.7117718446601942,1.229368932038835,1.4775485436893203,0.10756083796925109,0.37227092698489395,6.0
long_frequency_prior,6,prior=6,1648,0.7117718446601942,1.229368932038835,1.4775485436893203,0.10755964710878693,0.3722652588360358,6.0
long_frequency_prior,12,prior=12,1648,0.7117718446601942,1.229368932038835,1.4775485436893203,0.10755848187388485,0.37225971555065085,6.0
long_frequency_prior,30,prior=30,1648,0.7117718446601942,1.229368932038835,1.4775485436893203,0.10755513176643183,0.37224379390796364,6.0
long_frequency_prior,60,prior=60,1648,0.7117718446601942,1.229368932038835,1.4775485436893203,0.107549989661104,0.37221939888166966,6.0
long_frequency_prior,120,prior=120,1648,0.7117718446601942,1.229368932038835,1.4775485436893203,0.10754108942202344,0.37217728987275056,6.0
ewma_alpha,0.02,ewma_alpha=0.02,1648,0.7305825242718447,1.2348300970873787,1.4605582524271845,0.1083671004989386,0.37620184246224764,6.0
ewma_alpha,0.04,ewma_alpha=0.04,1648,0.7044902912621359,1.2050970873786409,1.4508495145631068,0.10927684307100949,0.38093682719569216,6.0
ewma_alpha,0.06,ewma_alpha=0.06,1648,0.7257281553398058,1.1978155339805825,1.4496359223300972,0.11020024238450112,0.3860554783799961,6.0
ewma_alpha,0.1,ewma_alpha=0.1,1648,0.7281553398058253,1.2172330097087378,1.487257281553398,0.11208619187255316,0.3971865383284835,6.0
ewma_alpha,0.2,ewma_alpha=0.2,1648,0.7390776699029126,1.2275485436893203,1.4672330097087378,0.11712784983026239,0.42687610355546757,6.0
transition_alpha,5,transition_alpha=5,1648,0.7069174757281553,1.203883495145631,1.4526699029126213,0.1076293918402751,0.3726099540217945,6.0
transition_alpha,10,transition_alpha=10,1648,0.7075242718446602,1.2020631067961165,1.4532766990291262,0.1076227168455322,0.3725743873570417,6.0
transition_alpha,30,transition_alpha=30,1648,0.7087378640776699,1.1899271844660195,1.4508495145631068,0.10760221475353382,0.37246998514002766,6.0
transition_alpha,60,transition_alpha=60,1648,0.7105582524271845,1.1881067961165048,1.4514563106796117,0.107582075536822,0.37237166089386137,6.0
transition_alpha,120,transition_alpha=120,1648,0.7057038834951457,1.1887135922330097,1.4435679611650485,0.10755818546886567,0.37225772653227346,6.0
recent_windows,10-20-50,"windows=(10, 20, 50)",1648,0.7342233009708737,1.2117718446601942,1.4599514563106797,0.11091415166061472,0.3902157905274266,6.0
recent_windows,20-50-100,"windows=(20, 50, 100)",1648,0.7135922330097088,1.2135922330097086,1.4575242718446602,0.10905200471688575,0.37974149825087505,6.0
recent_windows,30-100-200,"windows=(30, 100, 200)",1648,0.7196601941747572,1.1953883495145632,1.4362864077669903,0.1083732587539375,0.37619624338163704,6.0
recent_windows,50-100-200,"windows=(50, 100, 200)",1648,0.7554611650485437,1.2536407766990292,1.491504854368932,0.10818433013297453,0.37530541793354705,6.0
