model,prediction_draws,average_hits,top10_average_hits,top12_average_hits,brier,log_loss,mean_probability_sum,min_history,retrain_interval,estimator
FullFeatureLogistic_min150_r1,1998,0.7532532532532532,1.2372372372372373,1.4924924924924925,0.1086272587994756,0.37770684271138194,6.0,150,1,"SGDClassifier(log_loss), expanding partial_fit"
FullFeatureLogistic_min300_r1,1848,0.7694805194805194,1.275974025974026,1.4956709956709957,0.10866662443414776,0.37791991744667597,6.0,300,1,"SGDClassifier(log_loss), expanding partial_fit"
FullFeatureLogistic_min500_r1,1648,0.7524271844660194,1.2694174757281553,1.5388349514563107,0.10816424964464699,0.37533077920950664,6.0,500,1,"SGDClassifier(log_loss), expanding partial_fit"
FullFeatureLogistic_min500_r5,1648,0.7518203883495146,1.2724514563106797,1.5370145631067962,0.10816298356452583,0.3753238137901123,6.0,500,5,"SGDClassifier(log_loss), expanding partial_fit"
FullFeatureLogistic_min500_r10,1648,0.7518203883495146,1.2718446601941749,1.5370145631067962,0.10816147091875654,0.3753154769539074,6.0,500,10,"SGDClassifier(log_loss), expanding partial_fit"
FullFeatureLogistic_min500_r25,1648,0.7512135922330098,1.2730582524271845,1.5358009708737863,0.10815738572133482,0.3752929489608581,6.0,500,25,"SGDClassifier(log_loss), expanding partial_fit"
FullFeatureLogistic_min500_rfixed,1648,0.7524271844660194,1.2639563106796117,1.5303398058252426,0.10813280459346375,0.3751526133015492,6.0,500,0,"SGDClassifier(log_loss), expanding partial_fit"
