outer_start,outer_end_exclusive,inner_start,inner_end_exclusive,selected_C,inner_brier,outer_draws,outer_average_hits,outer_brier,outer_log_loss
900,1200,500,900,0.01,0.10748436032275692,300,0.82,0.10747156579358659,0.3718578692138416
1200,1500,500,1200,0.01,0.10747887695311249,300,0.67,0.10752797953837136,0.3721066895647412
1500,1800,500,1500,0.01,0.10749360772869017,300,0.7633333333333333,0.10743397504996056,0.3716770346887497
1800,2148,500,1800,0.01,0.10747984634129103,348,0.7241379310344828,0.10749683511275898,0.3719782229357654
