target_index,model,hits_top6,hits_top10,hits_top12,brier,log_loss
2129,Recent50HotBaseline,1,2,2,0.10721430737192837,0.3707461721511687
2130,Recent50HotBaseline,1,2,3,0.1035540624739692,0.3517759906942999
2131,Recent50HotBaseline,0,0,0,0.11176794002498958,0.387587656967815
2132,Recent50HotBaseline,2,2,2,0.10292516451478549,0.350842753678624
2133,Recent50HotBaseline,1,1,1,0.10827961349437736,0.37185542094270774
2134,Recent50HotBaseline,0,0,0,0.11633479716784674,0.4273717762924233
2135,Recent50HotBaseline,1,1,1,0.1074523481882549,0.36886570301061633
2136,Recent50HotBaseline,1,2,2,0.1060094094127447,0.36206818224783177
2137,Recent50HotBaseline,1,2,3,0.10603585839233653,0.37072316141918554
2138,Recent50HotBaseline,0,0,0,0.11211177675968347,0.38939473865975177
2139,Recent50HotBaseline,0,0,1,0.11061594002498959,0.3866405741116136
2140,Recent50HotBaseline,1,2,2,0.11276712369845897,0.4063436526717038
2141,Recent50HotBaseline,1,1,1,0.10690279716784674,0.3685677550354029
2142,Recent50HotBaseline,2,2,3,0.1069424706372345,0.37231818572647324
2143,Recent50HotBaseline,0,1,1,0.11343569512703039,0.4033449207726943
2144,Recent50HotBaseline,2,2,2,0.1015483481882549,0.3434405728730269
2145,Recent50HotBaseline,1,1,2,0.10687634818825488,0.368546047505829
2146,Recent50HotBaseline,1,1,1,0.10905398084131612,0.3759413451772123
2147,Recent50HotBaseline,1,2,2,0.10534083798417326,0.3581791358336104
2128,Recent100HotBaseline,2,2,2,0.10416679716784671,0.355947704956341
2129,Recent100HotBaseline,2,2,2,0.10419985839233653,0.3567199994180182
2130,Recent100HotBaseline,0,1,1,0.10866753186172429,0.37491388003663056
2131,Recent100HotBaseline,0,0,0,0.10976626655560183,0.37995946900297006
2132,Recent100HotBaseline,2,2,2,0.10421638900458141,0.35726491192596155
2133,Recent100HotBaseline,0,0,1,0.1068539400249896,0.36538799696219476
2134,Recent100HotBaseline,0,0,0,0.11458806247396919,0.4094608201513176
2135,Recent100HotBaseline,1,3,3,0.10536140941274469,0.3614235169788634
2136,Recent100HotBaseline,0,0,0,0.10940883798417327,0.37827182539061416
2137,Recent100HotBaseline,0,0,1,0.11084185839233653,0.38629712596501903
2138,Recent100HotBaseline,1,1,1,0.11228810329029572,0.396295932000997
2139,Recent100HotBaseline,1,2,2,0.10967369512703042,0.3836223141888219
2140,Recent100HotBaseline,1,1,2,0.10932949104539774,0.3873139280773077
2141,Recent100HotBaseline,2,3,3,0.10379945022907122,0.35725881087128925
2142,Recent100HotBaseline,1,2,2,0.1097100624739692,0.3886656818046073
2143,Recent100HotBaseline,0,1,1,0.11154349104539775,0.3891063224136974
2144,Recent100HotBaseline,0,1,1,0.10782373594335694,0.3709694656901318
2145,Recent100HotBaseline,3,3,3,0.10600683798417325,0.3698468083779791
2146,Recent100HotBaseline,0,2,2,0.10601014410662223,0.3624930504029983
2147,Recent100HotBaseline,0,1,1,0.10600353186172427,0.3625294911010186
2128,GapOnly,0,0,1,0.2214827155351937,0.8463462266547729
2129,GapOnly,1,1,2,0.18474802165764267,0.708964922238271
2130,GapOnly,0,0,1,0.2214827155351937,0.8463462266547728
2131,GapOnly,1,2,2,0.18474802165764265,0.708964922238271
2132,GapOnly,0,0,0,0.2214827155351937,0.8463462266547729
2133,GapOnly,0,0,1,0.2214827155351937,0.8463462266547729
2134,GapOnly,1,1,1,0.18474802165764267,0.7089649222382712
2135,GapOnly,0,1,1,0.2214827155351937,0.8463462266547728
2136,GapOnly,0,0,0,0.2214827155351937,0.8463462266547728
2137,GapOnly,1,1,1,0.18474802165764265,0.7089649222382712
2138,GapOnly,2,2,2,0.13974802165764263,0.5469954195860013
2139,GapOnly,1,1,1,0.18474802165764267,0.708964922238271
2140,GapOnly,1,1,1,0.18474802165764267,0.7089649222382712
2141,GapOnly,1,1,1,0.18474802165764267,0.7089649222382712
2142,GapOnly,1,3,3,0.18474802165764267,0.7089649222382712
2143,GapOnly,2,3,3,0.15811536859641817,0.5978661726875999
2144,GapOnly,0,1,1,0.2214827155351937,0.8463462266547728
2145,GapOnly,0,0,0,0.22148271553519372,0.8463462266547728
2146,GapOnly,2,2,2,0.14801332778009166,0.5715836178217694
2147,GapOnly,2,3,3,0.14801332778009166,0.5715836178217695
2128,PreviousDrawOnly,0,0,1,0.2214827155351937,0.8463462266547727
2129,PreviousDrawOnly,1,1,2,0.18474802165764267,0.708964922238271
2130,PreviousDrawOnly,0,0,1,0.22148271553519372,0.8463462266547725
2131,PreviousDrawOnly,0,1,1,0.2214827155351937,0.8463462266547725
2132,PreviousDrawOnly,1,1,1,0.18474802165764265,0.708964922238271
2133,PreviousDrawOnly,1,1,2,0.18474802165764267,0.708964922238271
2134,PreviousDrawOnly,0,0,0,0.22148271553519372,0.8463462266547725
2135,PreviousDrawOnly,0,1,1,0.22148271553519372,0.8463462266547725
2136,PreviousDrawOnly,0,0,0,0.2214827155351937,0.8463462266547725
2137,PreviousDrawOnly,1,2,2,0.18474802165764267,0.7089649222382709
2138,PreviousDrawOnly,2,2,2,0.14801332778009166,0.5715836178217693
2139,PreviousDrawOnly,3,3,3,0.11127863390254061,0.4342023134052676
2140,PreviousDrawOnly,0,0,0,0.2214827155351937,0.8463462266547727
2141,PreviousDrawOnly,1,1,1,0.18474802165764267,0.7089649222382709
2142,PreviousDrawOnly,0,1,2,0.22148271553519372,0.8463462266547723
2143,PreviousDrawOnly,1,2,2,0.18474802165764267,0.7089649222382708
2144,PreviousDrawOnly,1,2,2,0.18474802165764265,0.7089649222382709
2145,PreviousDrawOnly,2,2,2,0.14801332778009166,0.5715836178217693
2146,PreviousDrawOnly,1,1,1,0.18474802165764265,0.708964922238271
2147,PreviousDrawOnly,1,2,2,0.18474802165764265,0.7089649222382709
2128,TransitionOnly,0,0,2,0.10777317959323986,0.37291482419712574
2129,TransitionOnly,0,0,0,0.10838002797786449,0.37599573452700263
2130,TransitionOnly,0,2,2,0.10689848949846514,0.36909768223558814
2131,TransitionOnly,0,1,2,0.10818284613458358,0.3752322606063702
2132,TransitionOnly,0,1,1,0.10725716322975948,0.3706458396025237
