model,prediction_draws,average_hits,brier,log_loss
FullBatch,20,1.1,0.10736998803309336,0.3713810707562125
FullBatchWithoutGap,20,0.95,0.10737874853102539,0.3714208064243682
GapOnly,20,0.8,0.19218679716784676,0.7365259009530746
Recent50,20,0.9,0.10800564614743857,0.3747378318582282
Historical,20,0.3,0.10765230383323002,0.3726759977700912
ExactUniform,20,0.55,0.10745522698875468,0.37177617994345286
