model,prediction_draws,average_hits,brier,log_loss,hit_difference_vs_full,brier_difference_vs_full,log_loss_difference_vs_full,paired_hit_ci_low,paired_hit_ci_high,block_hit_ci_low,block_hit_ci_high,mean_top6_jaccard_vs_full,raw_hit_p,holm_hit_p
Full,20,1.1,0.10736998803309336,0.3713810707562125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02664337676616004,0.23979039089544038
RemoveInLastDraw,20,1.1,0.1073763244674584,0.37141101971731955,0.0,6.3364343650396115e-06,2.994896110692924e-05,-0.15,0.15,0.0,0.0,0.8285714285714285,0.02664337676616004,0.23979039089544038
RemoveTransition,20,1.0,0.10736573018821147,0.3713613653910344,-0.1,-4.257844881926098e-06,-1.9705365178132594e-05,-0.25,0.0,-0.1,-0.1,0.8428571428571429,0.08213705675710144,0.49282234054260865
RemoveBoth,20,1.1,0.10738233598309144,0.3714383357897467,0.0,1.2347949998051805e-05,5.726503353419288e-05,-0.15,0.15,0.0,0.0,0.8142857142857143,0.02664337676616004,0.23979039089544038
OnlyInLastDraw,20,0.6,0.10745647173284167,0.37178197786592265,-0.5,8.64836997482861e-05,0.0004009071097100969,-0.9,-0.1,-0.5,-0.5,0.13454545454545455,0.8257122007481037,1.0
OnlyTransition,20,0.85,0.10744714690672023,0.37173860640373413,-0.25,7.715887362686052e-05,0.00035753564752162293,-0.7,0.2,-0.25,-0.25,0.05181818181818182,0.2903870852350787,1.0
RepeatLastDraw,20,0.8,0.19209496043315288,0.7364411831215713,-0.3,0.08472497240005948,0.36506011236535874,-0.7,0.2,-0.3,-0.3,0.08212121212121212,0.3956482153531051,1.0
ExcludeLastDraw,20,0.6,0.10948461396898583,0.3978984677179841,-0.5,0.002114625935892429,0.0265173969617716,-0.9,-0.1,-0.5,-0.5,0.13454545454545455,0.8257122007481037,1.0
ExactUniform,20,0.55,0.10745522698875468,0.37177617994345286,-0.55,8.523895566127856e-05,0.00039510918724032783,-0.9,-0.2,-0.55,-0.55,0.15090909090909094,0.8950094324025294,1.0
