year,model,draws,average_hits,brier,log_loss
2026,ExactUniformBaseline,20,0.55,0.10745522698875468,0.37177617994345286
2026,FixedNumbersBaseline,20,0.55,0.20127863390254067,0.7707865092256965
2026,HistoricalTop6Baseline,20,0.3,0.10765230383323002,0.3726759977700912
2026,Recent20HotBaseline,20,0.65,0.11148756247396921,0.40183414422523295
2026,Recent50HotBaseline,20,0.9,0.10800564614743857,0.3747378318582282
2026,Recent100HotBaseline,20,0.8,0.10801297471886713,0.3746874527858389
2026,GapOnly,20,0.8,0.19218679716784676,0.7365259009530746
2026,PreviousDrawOnly,20,0.8,0.19209496043315288,0.7364411831215713
2026,TransitionOnly,20,0.3,0.1077503249770955,0.3731751575501542
2026,FullFeatureBatchLogistic,20,1.1,0.10736998803309336,0.3713810707562125
2026,FullFeatureOnlineSGD,20,0.75,0.10730237813288468,0.3711050043933018
2026,FixedHoldoutLogistic,20,1.0,0.10737571108885195,0.3714084758673995
