window,period,draws,average_hits,brier,log_loss,descending_tie_average_hits,mean_cutoff_tie_count,calibration_slope,ece
45,all_1648,1648,0.7524271844660194,0.10933652968221169,0.3818459075090964,,,,
45,first_half,824,0.7451456310679612,0.10940367848347976,0.3823959234283805,,,,
45,second_half,824,0.7597087378640777,0.10926938088094361,0.38129589158981225,,,,
45,year_2011,22,1.0,0.10920887508992463,0.3817118459648475,,,,
45,year_2012,104,0.8846153846153846,0.10903012526831768,0.3810254349052874,,,,
45,year_2013,108,0.6759259259259259,0.10944008514970614,0.3822146778303523,,,,
45,year_2014,108,0.7222222222222222,0.10956767396300926,0.3831180990575551,,,,
45,year_2015,109,0.8440366972477065,0.10941830812085178,0.3828756891051731,,,,
45,year_2016,111,0.6396396396396397,0.10945065081741465,0.3824831377287407,,,,
45,year_2017,108,0.6666666666666666,0.10934499822604779,0.3816025027950017,,,,
45,year_2018,108,0.7592592592592593,0.1096231539327749,0.3836862583572777,,,,
45,year_2019,112,0.7857142857142857,0.10929029571012079,0.38116645036289337,,,,
45,year_2020,112,0.75,0.10913912952936276,0.3808702162415129,,,,
45,year_2021,114,0.6842105263157895,0.1094301555638367,0.3822111064286235,,,,
45,year_2022,114,0.6842105263157895,0.10952496401353236,0.3825305376382791,,,,
45,year_2023,116,0.7413793103448276,0.10897560786453918,0.3797444758363254,,,,
45,year_2024,118,0.8050847457627118,0.10950886565625903,0.38324075996713985,,,,
45,year_2025,118,0.8389830508474576,0.10920225894577823,0.38066366612109187,,,,
45,year_2026,66,0.7575757575757576,0.1089968775636414,0.379421358578403,,,,
45,exclude_best_year_2011,1626,0.7490774907749077,0.10933825686611716,0.3818477213799288,,,,
50,all_1648,1648,0.7682038834951457,0.10915284977335495,0.38071221121513565,,,,
50,first_half,824,0.7463592233009708,0.10922001987440508,0.381119333591329,,,,
50,second_half,824,0.7900485436893204,0.10908567967230483,0.3803050888389424,,,,
50,year_2011,22,0.9545454545454546,0.10916812555374654,0.3819082813578356,,,,
50,year_2012,104,0.8461538461538461,0.10892978931855318,0.3801805900863968,,,,
50,year_2013,108,0.6574074074074074,0.10920521893655423,0.38072570241055387,,,,
50,year_2014,108,0.7129629629629629,0.10923268832430937,0.38116837647324897,,,,
50,year_2015,109,0.8165137614678899,0.1093511341833869,0.38196294848085544,,,,
50,year_2016,111,0.6846846846846847,0.1092707089163299,0.3812544405199902,,,,
50,year_2017,108,0.7314814814814815,0.10911648424267667,0.38037251741156985,,,,
50,year_2018,108,0.7222222222222222,0.1095122257392753,0.38262539678145324,,,,
50,year_2019,112,0.6785714285714286,0.1091286703456893,0.37996083593892604,,,,
50,year_2020,112,0.8392857142857143,0.1089789895876718,0.38004124577306314,,,,
50,year_2021,114,0.7192982456140351,0.10928689168986608,0.38103259535086753,,,,
50,year_2022,114,0.7105263157894737,0.10918955119577368,0.38103339812254583,,,,
50,year_2023,116,0.8706896551724138,0.10871118281175947,0.37843888175219337,,,,
50,year_2024,118,0.8050847457627118,0.10939776776625558,0.3822210701432458,,,,
50,year_2025,118,0.8898305084745762,0.1090300098970062,0.37998274389116393,,,,
50,year_2026,66,0.803030303030303,0.1088278064442846,0.37873794306408914,,,,
50,exclude_best_year_2011,1626,0.7656826568265682,0.10915264308997943,0.380696028224275,,,,
50,tie_rule_diagnostic,1648,0.7682038834951457,0.10915284977335495,0.38071221121513565,0.7524271844660194,4.449635922330097,-0.016316552255297646,0.026373728786144957
55,all_1648,1648,0.7682038834951457,0.10901287435632462,0.3798866079570997,,,,
55,first_half,824,0.7451456310679612,0.1091032874484651,0.38038816907353606,,,,
55,second_half,824,0.7912621359223301,0.10892246126418413,0.3793850468406635,,,,
55,year_2011,22,0.9090909090909091,0.10888776007742829,0.37949334082805064,,,,
55,year_2012,104,0.8653846153846154,0.10883000850196717,0.37964148264677366,,,,
55,year_2013,108,0.5462962962962963,0.109143355328301,0.3800987495112161,,,,
55,year_2014,108,0.7129629629629629,0.10897610958702929,0.379936155565692,,,,
55,year_2015,109,0.8807339449541285,0.10914894079093398,0.3809090181789619,,,,
55,year_2016,111,0.6936936936936937,0.10923922522417089,0.3809357467634187,,,,
55,year_2017,108,0.75,0.1092263710139141,0.38085630878720167,,,,
55,year_2018,108,0.7407407407407407,0.1093281532143976,0.3815267656395368,,,,
55,year_2019,112,0.7142857142857143,0.10889252687413302,0.3788158214924632,,,,
55,year_2020,112,0.7678571428571429,0.10898038437840982,0.3800119490376116,,,,
55,year_2021,114,0.6578947368421053,0.1091585461980373,0.3802815681046668,,,,
55,year_2022,114,0.7543859649122807,0.1088483066085086,0.37951557065343994,,,,
55,year_2023,116,0.9224137931034483,0.1086599495864089,0.37813069320507253,,,,
55,year_2024,118,0.788135593220339,0.10920970753944739,0.38083564533577713,,,,
55,year_2025,118,0.8728813559322034,0.1087341375888169,0.378167594971149,,,,
55,year_2026,66,0.8484848484848485,0.1087774363987457,0.3782779193239465,,,,
55,exclude_best_year_2023,1532,0.7565274151436031,0.10903959711958194,0.38001956233780154,,,,
